"T"	"pluses_box.jpg"
"T"	"pluses_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"T"	"pluses_box.jpg"
"T"	"pluses_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"T"	"pluses_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"T"	"pluses_box.jpg"
"NT"	"exes_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"T"	"pluses_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"PB"	"equals_box.jpg"
"PB"	"equals_box.jpg"
"PB"	"equals_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"NT"	"exes_box.jpg"
"PB"	"equals_box.jpg"
"T"	"pluses_box.jpg"
"NT"	"exes_box.jpg"
